Code,Area_name,Inner/_Outer_London,GLA_Population_Estimate_2017,Inland_Area_(Hectares),Population_density_(per_hectare)_2017,Average_Age_2017,Net_internal_migration_(2015),Net_international_migration_(2015),%_of_resident_population_born_abroad_(2015),Employment_rate_(%)_(2015),Unemployment_rate_(2015),"Gross_Annual_Pay,_(2016)","Number_of_active_businesses,_2015",Crime_rates_per_thousand_population_2014/15,Fires_per_thousand_population_(2014),Ambulance_incidents_per_hundred_population_(2014),"Median_House_Price,_2015","%_of_area_that_is_Greenspace,_2005",Total_carbon_emissions_(2014),Happiness_score_2011-14_(out_of_10)
E09000001,City of London,Inner London,8800,290,30.3,43.2,-7,665,,64.6,,,26130,,12.3,,799999,4.8,1036,6
E09000002,Barking and Dagenham,Outer London,209000,3611,57.9,32.9,-1176,2509,37.8,65.8,11,27886,6560,83.4,3,13.7,243500,33.6,644,7.1
E09000003,Barnet,Outer London,389600,8675,44.9,37.3,-3379,5407,35.2,68.5,8.5,33443,26190,62.7,1.6,11.1,445000,41.3,1415,7.4
E09000004,Bexley,Outer London,244300,6058,40.3,39,413,760,16.1,75.1,7.6,34350,9075,51.8,2.3,11.8,275000,31.7,975,7.2
E09000005,Brent,Outer London,332100,4323,76.8,35.6,-7739,7640,53.9,69.5,7.5,29812,15745,78.8,1.8,12.1,407250,21.9,1175,7.2
E09000006,Bromley,Outer London,327900,15013,21.8,40.2,1342,796,18.3,75.3,5.3,37682,15695,64.1,2.3,11.2,374975,57.8,1180,7.4
E09000007,Camden,Inner London,242500,2179,111.3,36.4,-2917,7504,41.4,69.2,4,39796,31385,123.5,2.7,14.8,700000,24.8,1288,7.1
E09000008,Croydon,Outer London,386500,8650,44.7,37,-2605,2438,29.4,75.4,4.1,32696,15540,77,2.2,12.8,300000,37.1,1237,7.2
E09000009,Ealing,Outer London,351600,5554,63.3,36.2,-6473,4007,47.4,72.7,5.8,31331,18700,75.5,1.9,11.3,430000,30.9,1342,7.3
E09000010,Enfield,Outer London,333000,8083,41.2,36.3,-2077,3164,35,73,3.8,31603,13925,69.4,2.2,12.2,320000,45.6,1245,7.3
E09000011,Greenwich,Outer London,280100,4733,59.2,35,-407,3366,35.4,72.1,8.1,32415,10060,79.4,2.5,11.9,340000,34.4,1014,7.2
E09000012,Hackney,Inner London,274300,1905,144,33.1,-738,3359,35.8,69,5.9,32056,18510,99.6,2.7,11.5,485000,23.2,813,7
E09000013,Hammersmith and Fulham,Inner London,185300,1640,113,35.7,-3361,2926,43.2,77.5,4.7,38041,14095,113.2,2,12.2,730000,19.1,809,7.2
